Instance;PTS_v_0,1;SimTS_v_0,1;PTS_v_0,15;SimTS_v_0,15;PTS_v_0,2;PTS_v_0,2
GKD-b_11_n50_b02_m5;0,58;1;0,52;0,97;0,48;0,89
GKD-b_12_n50_b02_m5;0,86;1;0,73;1;0,65;1
GKD-b_13_n50_b02_m5;0,63;1;0,55;1;0,5;0,99
GKD-b_14_n50_b02_m5;0,75;1;0,63;0,99;0,56;0,99
GKD-b_15_n50_b02_m5;0,72;1;0,63;1;0,56;0,99
GKD-b_16_n50_b02_m15;0,97;0,98;0,88;0,99;0,78;0,83
GKD-b_17_n50_b02_m15;0,52;0,99;0,49;0,93;0,46;1
GKD-b_18_n50_b02_m15;0,82;1;0,7;1;0,62;0,99
GKD-b_19_n50_b02_m15;0,96;1;0,86;1;0,76;0,96
GKD-b_20_n50_b02_m15;0,51;1;0,48;0,99;0,45;0,99
GKD-b_41_n150_b02_m15;0,59;1;0,49;0,99;0,44;1
GKD-b_42_n150_b02_m15;0,57;1;0,48;1;0,42;0,98
GKD-b_43_n150_b02_m15;0,49;1;0,43;0,99;0,39;0,99
GKD-b_44_n150_b02_m15;0,75;1;0,58;0,98;0,5;1
GKD-b_45_n150_b02_m15;0,82;1;0,67;0,99;0,58;0,98
GKD-b_46_n150_b02_m45;0,43;1;0,39;0,98;0,34;1
GKD-b_47_n150_b02_m45;0,67;1;0,53;0,99;0,44;1
GKD-b_48_n150_b02_m45;0,53;1;0,46;1;0,4;0,99
GKD-b_49_n150_b02_m45;0,61;1;0,5;0,99;0,43;0,99
GKD-b_50_n150_b02_m45;0,49;1;0,43;0,98;0,39;0,99
MDG-b_01_n500_b02_m50;0,42;0,99;0,33;0,99;0,26;1
MDG-b_02_n500_b02_m50;0,57;1;0,4;0,99;0,28;0,98
MDG-b_03_n500_b02_m50;0,56;1;0,41;1;0,29;1
MDG-b_04_n500_b02_m50;0,45;1;0,34;1;0,25;0,99
MDG-b_05_n500_b02_m50;0,52;0,99;0,4;0,99;0,3;0,99
MDG-b_06_n500_b02_m50;0,54;0,99;0,41;1;0,29;1
MDG-b_07_n500_b02_m50;0,71;0,99;0,53;1;0,4;0,98
MDG-b_08_n500_b02_m50;0,4;1;0,31;1;0,23;0,97
MDG-b_09_n500_b02_m50;0,62;0,99;0,45;0,97;0,32;0,99
MDG-b_10_n500_b02_m50;0,69;1;0,52;0,99;0,37;1
GKD-c_01_n500_b02_m50;0,61;1;0,45;0,97;0,32;0,97
GKD-c_02_n500_b02_m50;0,47;1;0,34;0,99;0,26;1
GKD-c_03_n500_b02_m50;0,52;1;0,39;0,99;0,3;0,97
GKD-c_04_n500_b02_m50;0,64;1;0,46;0,96;0,35;0,99
GKD-c_05_n500_b02_m50;0,57;1;0,43;0,99;0,29;1
GKD-c_06_n500_b02_m50;0,71;1;0,51;1;0,38;0,99
GKD-c_07_n500_b02_m50;0,52;1;0,4;0,99;0,3;0,99
GKD-c_08_n500_b02_m50;0,54;1;0,41;1;0,32;0,98
GKD-c_09_n500_b02_m50;0,61;0,99;0,44;1;0,31;1
GKD-c_10_n500_b02_m50;0,78;1;0,6;1;0,44;1
